case_id,state,district,project_type,acquiring_authority,land_area_hectares,land_type,num_affected_families,sia_conducted,consent_percentage,community_sentiment_score,compensation_offered_per_hectare,compensation_disputed,land_records_digitized,survey_settlement_pending,approval_timeline_days,court_case_filed,litigation_type,case_pending_court,stay_order_issued,case_pendency_duration_months,r_and_r_plan_prepared,families_to_be_resettled,rehabilitation_site_ready,livelihood_restoration_provided,possession_status,stakeholder_responsiveness_score,awarding_officer_assigned,district_historical_delay_rate,days_since_notification,stage_of_process,risk_score,delayed,delay_duration_months
LA00011,Maharashtra,Maharashtra_District_1,Highway,Municipal Corporation,1.66,Urban/Residential,12,False,79.8,0.5,925722.0,False,False,False,413,False,None,False,False,0,True,4,True,False,Full,0.56,True,0.49,129,Compensation Disbursed,0.398,False,4.3
LA00012,Bihar,Bihar_District_2,Railway,Indian Railways,17.72,Agricultural,10,False,67.2,0.08,578241.0,False,True,False,228,False,None,False,False,0,False,3,False,False,Full,0.32,True,0.43,80,Possession Taken,0.372,False,0.6
LA00013,Gujarat,Gujarat_District_4,Industrial Corridor,NHAI,27.75,Agricultural,4,True,98.9,0.95,633345.0,False,False,False,360,False,None,False,False,0,True,2,True,True,Not Started,0.66,True,0.45,455,Notification,0.177,False,2.5
LA00014,West Bengal,West Bengal_District_4,Highway,Indian Railways,3.94,Urban/Residential,55,True,70.3,0.8,339639.0,False,True,True,588,False,None,False,False,0,False,9,False,False,Partial,0.84,True,0.3,307,Notification,0.169,False,2.3
LA00015,West Bengal,West Bengal_District_2,Mining,NHAI,12.71,Urban/Residential,234,True,75.0,0.88,559903.0,False,True,False,79,True,Title Dispute,True,False,4,False,33,False,False,Partial,0.75,True,0.4,878,Compensation Disbursed,0.528,True,21.4
LA00016,Madhya Pradesh,Madhya Pradesh_District_2,Highway,Municipal Corporation,65.03,Forest,7,True,70.6,0.73,369272.0,True,True,True,153,True,Compensation Dispute,True,False,17,True,4,True,True,Full,0.43,True,0.56,1213,Possession Taken,0.585,True,10.9
LA00017,Bihar,Bihar_District_2,Railway,Irrigation Dept,23.38,Tribal/Scheduled Area,66,True,53.7,0.69,648296.0,True,True,False,336,True,Title Dispute,True,False,4,True,29,True,True,Partial,0.9,False,0.43,1350,Closed,0.568,True,16.3
LA00018,Gujarat,Gujarat_District_4,Urban Housing,Indian Railways,5.97,Agricultural,63,True,80.9,0.96,146671.0,False,True,False,233,False,None,False,False,0,True,20,True,False,Partial,0.33,True,0.45,1634,Notification,0.114,False,2.9
LA00019,West Bengal,West Bengal_District_2,Industrial Corridor,State Power Corp,12.0,Tribal/Scheduled Area,105,True,89.4,1.0,370993.0,False,True,False,134,True,Title Dispute,True,False,17,True,36,True,False,Full,0.69,True,0.4,1493,Award Declared,0.376,False,1.4
LA00020,Karnataka,Karnataka_District_2,Irrigation,State Industrial Dev. Corp,2.13,Urban/Residential,86,True,51.3,0.69,619218.0,True,True,True,116,True,Public Purpose Challenge,True,True,11,True,34,True,False,Full,0.8,True,0.81,1558,Award Declared,0.666,True,19.8
LA00021,Madhya Pradesh,Madhya Pradesh_District_2,Highway,State Power Corp,42.38,Agricultural,15,True,71.6,0.49,434296.0,False,False,False,244,False,None,False,False,0,True,3,True,True,Partial,0.34,True,0.56,1510,SIA,0.275,False,4.7
LA00022,Gujarat,Gujarat_District_4,Highway,NHAI,82.27,Agricultural,32,True,72.2,0.69,572002.0,False,False,False,147,False,None,False,False,0,False,9,False,False,Full,0.62,True,0.45,1037,Possession Taken,0.329,False,2.9
LA00023,West Bengal,West Bengal_District_2,Mining,Indian Railways,8.75,Agricultural,10,True,97.3,1.0,521863.0,False,False,False,333,False,None,False,False,0,False,2,True,False,Full,0.84,True,0.4,1754,Notification,0.211,False,2.1
LA00024,Punjab,Punjab_District_4,Highway,NHAI,161.79,Agricultural,69,True,44.2,0.46,195869.0,False,True,False,266,False,None,False,False,0,True,11,False,False,Partial,0.49,True,0.28,1648,Award Declared,0.13,False,2.0
LA00025,Gujarat,Gujarat_District_3,Highway,Indian Railways,14.54,Agricultural,25,False,86.5,0.33,643075.0,False,True,False,518,True,Title Dispute,True,False,20,False,14,False,False,Partial,0.94,True,0.21,1277,Award Declared,0.333,False,3.5
LA00026,Maharashtra,Maharashtra_District_1,Highway,NHAI,5.97,Tribal/Scheduled Area,12,False,70.9,0.49,841612.0,False,True,False,467,True,Title Dispute,True,False,37,False,4,False,False,Full,0.57,True,0.49,776,Compensation Disbursed,0.436,False,1.0
LA00027,Karnataka,Karnataka_District_3,Highway,Irrigation Dept,2.26,Agricultural,57,True,49.2,0.68,388282.0,True,True,False,199,True,Title Dispute,False,False,0,False,12,True,False,Partial,0.7,True,0.27,1387,Award Declared,0.456,True,14.9
LA00028,Rajasthan,Rajasthan_District_2,Mining,State PWD,17.19,Tribal/Scheduled Area,3,True,32.8,0.28,555310.0,False,True,False,305,True,Compensation Dispute,True,True,25,False,1,False,False,Not Started,0.37,True,0.08,1500,Notification,0.397,False,1.4
LA00029,Karnataka,Karnataka_District_3,Mining,Municipal Corporation,10.75,Agricultural,21,False,46.5,0.18,560009.0,False,True,True,944,False,None,False,False,0,True,11,True,True,Partial,0.65,True,0.27,752,SIA,0.432,False,2.0
LA00030,Gujarat,Gujarat_District_1,Industrial Corridor,Municipal Corporation,104.95,Urban/Residential,34,False,90.6,0.72,666797.0,False,False,False,391,False,None,False,False,0,True,6,True,True,Partial,0.57,False,0.35,1731,Closed,0.265,False,2.3
LA00031,Uttar Pradesh,Uttar Pradesh_District_4,Railway,Irrigation Dept,10.15,Urban/Residential,14,True,57.7,0.67,171738.0,True,True,True,155,True,Compensation Dispute,True,False,19,True,2,False,False,Partial,0.44,True,0.27,1394,Award Declared,0.476,True,21.9
LA00032,Madhya Pradesh,Madhya Pradesh_District_4,Urban Housing,State Industrial Dev. Corp,10.41,Urban/Residential,3,False,36.0,0.27,239202.0,False,True,True,160,True,Title Dispute,True,True,27,True,1,True,True,Partial,0.45,True,0.14,85,Award Declared,0.489,True,14.3
LA00033,West Bengal,West Bengal_District_4,Mining,State PWD,46.56,Urban/Residential,72,False,84.5,0.48,859904.0,True,True,False,434,True,Compensation Dispute,True,False,24,True,14,True,True,Not Started,0.25,True,0.3,50,Award Declared,0.698,True,19.0
LA00034,Rajasthan,Rajasthan_District_1,Industrial Corridor,Irrigation Dept,16.6,Tribal/Scheduled Area,55,True,73.3,0.6,439319.0,False,True,False,138,False,None,False,False,0,True,20,False,False,Not Started,0.62,True,0.44,1483,Possession Taken,0.192,False,3.3
LA00035,Rajasthan,Rajasthan_District_3,Power Plant,State PWD,28.16,Tribal/Scheduled Area,51,False,91.0,0.24,854863.0,False,True,False,208,False,None,False,False,0,True,6,True,True,Partial,0.49,True,0.16,1427,Award Declared,0.383,False,2.7
LA00036,Gujarat,Gujarat_District_1,Highway,Indian Railways,3.15,Tribal/Scheduled Area,61,True,91.8,0.9,705343.0,False,True,False,334,False,None,False,False,0,True,32,False,False,Not Started,0.85,False,0.35,776,Possession Taken,0.356,False,4.1
LA00037,Maharashtra,Maharashtra_District_3,Railway,State Industrial Dev. Corp,17.97,Forest,24,True,66.9,0.83,144753.0,False,True,False,213,False,None,False,False,0,True,10,True,False,Full,0.39,True,0.53,626,Award Declared,0.222,False,0.0
LA00038,Maharashtra,Maharashtra_District_1,Mining,State Industrial Dev. Corp,65.72,Agricultural,5,True,84.1,0.99,764817.0,False,True,True,161,False,None,False,False,0,True,1,True,False,Partial,0.62,True,0.49,1248,Award Declared,0.057,False,2.8
LA00039,Uttar Pradesh,Uttar Pradesh_District_3,Industrial Corridor,Irrigation Dept,46.05,Agricultural,10,False,57.5,0.73,402182.0,False,False,False,211,False,None,False,False,0,True,4,False,False,Partial,0.53,True,0.65,411,Award Declared,0.269,False,2.4
LA00040,Uttar Pradesh,Uttar Pradesh_District_2,Mining,State Power Corp,11.28,Urban/Residential,47,False,100.0,0.44,391571.0,False,True,False,355,False,None,False,False,0,False,14,False,False,Partial,0.81,True,0.17,731,Award Declared,0.125,False,1.5
LA00041,Maharashtra,Maharashtra_District_3,Industrial Corridor,Irrigation Dept,14.93,Tribal/Scheduled Area,15,True,25.0,0.15,455691.0,True,True,False,398,True,Compensation Dispute,True,False,49,False,6,False,False,Full,0.56,False,0.53,136,Award Declared,0.722,True,21.5
LA00042,Bihar,Bihar_District_4,Mining,Indian Railways,3.89,Urban/Residential,493,True,89.6,0.79,964476.0,False,False,False,124,False,None,False,False,0,False,94,False,False,Partial,0.6,True,0.32,1159,Possession Taken,0.198,False,2.9
LA00043,West Bengal,West Bengal_District_2,Highway,Municipal Corporation,49.05,Urban/Residential,46,True,100.0,1.0,280275.0,False,True,False,121,False,None,False,False,0,True,10,False,False,Partial,0.88,True,0.4,394,SIA,0.056,False,1.2
LA00044,Rajasthan,Rajasthan_District_2,Irrigation,State Power Corp,14.82,Tribal/Scheduled Area,6,False,31.7,0.46,998689.0,True,True,True,83,True,Compensation Dispute,True,True,9,False,1,False,False,Full,0.52,True,0.08,1214,Possession Taken,0.892,True,28.4
LA00045,Odisha,Odisha_District_4,Mining,State Industrial Dev. Corp,58.76,Agricultural,71,True,95.0,0.9,438007.0,False,True,False,237,True,Title Dispute,False,False,0,True,30,True,True,Not Started,0.62,True,0.5,141,SIA,0.005,False,0.0
LA00046,Uttar Pradesh,Uttar Pradesh_District_3,Highway,State PWD,58.68,Agricultural,34,False,77.3,0.63,163249.0,False,True,False,425,False,None,False,False,0,False,12,False,False,Not Started,0.65,True,0.65,302,Closed,0.339,False,2.2
LA00047,Uttar Pradesh,Uttar Pradesh_District_1,Urban Housing,Irrigation Dept,36.41,Agricultural,5,False,59.7,0.54,296627.0,True,True,True,231,True,Title Dispute,True,False,29,True,0,False,False,Full,0.35,True,0.77,887,Possession Taken,0.524,True,13.3
LA00048,Rajasthan,Rajasthan_District_3,Urban Housing,State PWD,1.51,Urban/Residential,14,False,58.8,0.65,868168.0,True,True,True,255,False,None,False,False,0,False,6,False,False,Full,0.37,True,0.16,715,SIA,0.399,False,1.7
LA00049,Gujarat,Gujarat_District_3,Urban Housing,NHAI,3.47,Tribal/Scheduled Area,54,True,46.1,0.52,757737.0,True,True,True,68,False,None,False,False,0,True,12,True,True,Partial,0.36,True,0.21,1551,Closed,0.398,False,2.7
LA00050,Uttar Pradesh,Uttar Pradesh_District_4,Urban Housing,State PWD,14.88,Urban/Residential,355,False,57.9,0.41,659838.0,False,True,False,250,False,None,False,False,0,False,42,True,False,Not Started,0.79,True,0.27,1200,SIA,0.252,False,2.4
LA00051,West Bengal,West Bengal_District_4,Railway,Irrigation Dept,5.21,Agricultural,94,False,70.7,0.18,284865.0,True,False,False,146,True,Title Dispute,True,False,28,False,33,False,False,Not Started,0.8,True,0.3,717,SIA,0.802,True,26.1
LA00052,Madhya Pradesh,Madhya Pradesh_District_2,Highway,Municipal Corporation,34.21,Urban/Residential,17,False,66.7,0.41,390684.0,False,True,False,558,False,None,False,False,0,True,6,False,False,Full,0.62,True,0.56,925,Compensation Disbursed,0.42,False,3.6
LA00053,West Bengal,West Bengal_District_3,Power Plant,Irrigation Dept,107.09,Urban/Residential,65,True,57.6,0.65,390337.0,True,True,False,178,True,Title Dispute,False,False,0,True,24,False,False,Full,0.33,True,0.17,39,Notification,0.38,False,3.0
LA00054,Uttar Pradesh,Uttar Pradesh_District_1,Highway,State Industrial Dev. Corp,4.2,Agricultural,20,False,100.0,0.27,495015.0,False,True,False,348,True,Title Dispute,True,False,19,True,8,True,True,Full,0.2,False,0.77,507,Award Declared,0.519,True,20.0
LA00055,Gujarat,Gujarat_District_1,Power Plant,State Industrial Dev. Corp,5.59,Forest,9,True,66.1,0.53,413486.0,False,True,False,88,False,None,False,False,0,False,1,False,False,Not Started,0.65,True,0.35,671,Notification,0.107,False,2.2
LA00056,Madhya Pradesh,Madhya Pradesh_District_1,Irrigation,NHAI,1.46,Urban/Residential,17,True,44.0,0.03,296633.0,False,True,False,194,True,Compensation Dispute,True,True,18,True,9,True,True,Not Started,0.83,True,0.31,1525,SIA,0.436,False,5.0
LA00057,Bihar,Bihar_District_4,Railway,State PWD,9.95,Agricultural,37,False,48.7,0.38,388792.0,False,False,False,346,False,None,False,False,0,False,6,False,False,Not Started,0.74,False,0.32,353,Compensation Disbursed,0.383,False,1.8
LA00058,Gujarat,Gujarat_District_3,Highway,State PWD,41.04,Urban/Residential,2,True,43.2,0.51,393045.0,True,True,True,405,True,Public Purpose Challenge,True,False,35,True,0,False,False,Not Started,0.51,True,0.21,1364,Notification,0.473,True,16.0
LA00059,Rajasthan,Rajasthan_District_4,Railway,State Industrial Dev. Corp,11.32,Urban/Residential,14,True,50.5,0.5,743552.0,True,False,False,258,True,Title Dispute,True,False,73,False,4,False,False,Full,0.67,True,0.31,1547,SIA,0.538,True,13.9
LA00060,Bihar,Bihar_District_4,Industrial Corridor,Indian Railways,6.56,Agricultural,12,False,92.8,0.14,433433.0,False,True,False,238,True,Compensation Dispute,False,False,0,True,3,False,False,Full,0.4,True,0.32,1778,Possession Taken,0.236,False,0.3
LA00061,Gujarat,Gujarat_District_3,Industrial Corridor,State Industrial Dev. Corp,4.45,Forest,20,True,64.0,0.55,1005025.0,False,True,True,81,False,None,False,False,0,False,10,False,False,Partial,0.85,True,0.21,325,Closed,0.251,False,3.3
LA00062,Gujarat,Gujarat_District_3,Power Plant,Municipal Corporation,7.74,Agricultural,102,False,43.7,0.42,565007.0,False,True,True,219,False,None,False,False,0,True,32,True,False,Partial,0.66,True,0.21,104,Closed,0.349,False,3.1
LA00063,Madhya Pradesh,Madhya Pradesh_District_2,Irrigation,Indian Railways,7.22,Urban/Residential,88,True,59.5,0.65,1109136.0,True,True,True,48,False,None,False,False,0,True,21,False,False,Not Started,0.41,True,0.56,169,Compensation Disbursed,0.668,True,20.4
LA00064,Uttar Pradesh,Uttar Pradesh_District_1,Power Plant,Municipal Corporation,6.96,Agricultural,48,True,93.3,1.0,568381.0,False,True,False,51,False,None,False,False,0,False,19,False,False,Partial,0.26,True,0.77,450,Notification,0.273,False,1.6
LA00065,Gujarat,Gujarat_District_4,Railway,NHAI,0.68,Forest,89,True,65.7,0.67,349837.0,False,True,False,67,False,None,False,False,0,True,28,True,True,Not Started,0.12,True,0.45,806,Award Declared,0.223,False,1.1
LA00066,Maharashtra,Maharashtra_District_4,Urban Housing,Indian Railways,33.94,Urban/Residential,20,False,71.4,0.34,329345.0,False,True,False,271,False,None,False,False,0,True,8,True,False,Not Started,0.55,True,0.24,1498,Closed,0.264,False,3.2
LA00067,Maharashtra,Maharashtra_District_3,Industrial Corridor,NHAI,2.87,Agricultural,115,False,100.0,0.02,282633.0,False,True,False,319,False,None,False,False,0,True,19,True,True,Full,0.44,False,0.53,1784,Possession Taken,0.412,False,0.0
LA00068,Punjab,Punjab_District_1,Power Plant,NHAI,79.01,Urban/Residential,17,True,82.4,0.98,374109.0,False,True,False,217,False,None,False,False,0,True,5,False,False,Partial,0.75,True,0.3,323,Notification,0.038,False,2.3
LA00069,Uttar Pradesh,Uttar Pradesh_District_4,Irrigation,Indian Railways,0.96,Agricultural,53,True,96.5,0.98,804797.0,False,True,False,184,True,Compensation Dispute,True,False,22,True,15,True,True,Partial,0.43,True,0.27,868,Closed,0.101,False,2.1
LA00070,Odisha,Odisha_District_1,Urban Housing,Irrigation Dept,2.91,Forest,38,True,82.8,0.9,179777.0,False,True,True,123,False,None,False,False,0,True,22,False,False,Partial,0.95,True,0.49,895,Closed,0.321,False,3.3
LA00071,Rajasthan,Rajasthan_District_4,Railway,Indian Railways,7.12,Agricultural,8,True,39.5,0.43,505318.0,False,True,False,625,True,Title Dispute,True,False,22,True,4,False,False,Partial,0.78,True,0.31,934,Possession Taken,0.225,False,3.8
LA00072,Odisha,Odisha_District_3,Urban Housing,Indian Railways,8.13,Agricultural,119,False,65.9,0.47,101702.0,False,False,True,713,False,None,False,False,0,False,19,False,False,Full,0.7,False,0.19,45,Possession Taken,0.572,True,15.0
LA00073,Punjab,Punjab_District_3,Highway,State Industrial Dev. Corp,34.05,Urban/Residential,16,False,78.6,0.49,799088.0,False,False,False,177,True,Title Dispute,True,True,8,True,2,False,False,Partial,0.51,True,0.49,1436,Notification,0.455,True,10.8
LA00074,Uttar Pradesh,Uttar Pradesh_District_3,Irrigation,State Power Corp,10.12,Urban/Residential,71,True,39.2,0.37,460215.0,False,True,False,184,True,Public Purpose Challenge,True,False,69,True,31,True,False,Not Started,0.72,True,0.65,1402,Award Declared,0.411,False,1.0
LA00075,Uttar Pradesh,Uttar Pradesh_District_3,Irrigation,State PWD,7.45,Tribal/Scheduled Area,16,True,70.3,0.65,478110.0,False,True,True,99,True,Compensation Dispute,True,False,40,True,7,False,False,Partial,0.74,True,0.65,1246,Award Declared,0.469,True,17.8
LA00076,Karnataka,Karnataka_District_3,Power Plant,Municipal Corporation,38.8,Wasteland,128,False,71.8,0.39,324868.0,False,True,True,145,False,None,False,False,0,False,44,False,False,Partial,0.4,True,0.27,1388,Compensation Disbursed,0.481,True,16.3
LA00077,Rajasthan,Rajasthan_District_2,Irrigation,Irrigation Dept,8.78,Tribal/Scheduled Area,49,True,55.2,0.49,836763.0,True,True,False,319,False,None,False,False,0,True,26,True,True,Not Started,0.28,True,0.08,627,Notification,0.375,False,0.0
LA00078,Gujarat,Gujarat_District_1,Industrial Corridor,Irrigation Dept,36.48,Urban/Residential,11,True,98.2,0.9,189456.0,False,True,False,144,False,None,False,False,0,True,3,True,True,Partial,0.41,True,0.35,1166,Possession Taken,0.12,False,5.0
LA00079,Odisha,Odisha_District_3,Irrigation,State PWD,55.39,Tribal/Scheduled Area,40,True,60.6,0.55,513470.0,False,True,False,269,True,Title Dispute,True,False,19,False,16,False,False,Not Started,0.23,False,0.19,1529,SIA,0.34,False,2.0
LA00080,Odisha,Odisha_District_3,Power Plant,State Industrial Dev. Corp,19.17,Tribal/Scheduled Area,129,True,52.0,0.54,365294.0,False,False,False,55,False,None,False,False,0,True,74,False,False,Partial,0.77,True,0.19,1559,Closed,0.397,False,0.7
LA00081,Uttar Pradesh,Uttar Pradesh_District_3,Power Plant,State Industrial Dev. Corp,19.75,Tribal/Scheduled Area,45,True,53.6,0.62,418189.0,True,True,False,101,False,None,False,False,0,True,25,False,False,Full,0.71,True,0.65,841,Closed,0.549,True,18.7
LA00082,Rajasthan,Rajasthan_District_1,Railway,State Industrial Dev. Corp,20.1,Agricultural,8,True,82.1,0.89,632257.0,True,True,True,788,True,Compensation Dispute,True,False,13,False,0,False,False,Partial,0.75,False,0.44,1051,Compensation Disbursed,0.606,True,11.9
LA00083,Uttar Pradesh,Uttar Pradesh_District_4,Highway,NHAI,21.86,Agricultural,68,False,78.8,0.18,368695.0,False,True,False,65,False,None,False,False,0,False,11,False,False,Not Started,0.84,True,0.27,391,SIA,0.264,False,2.1
LA00084,Rajasthan,Rajasthan_District_3,Industrial Corridor,NHAI,12.35,Agricultural,72,False,60.4,0.54,743054.0,False,True,False,304,False,None,False,False,0,True,22,True,True,Partial,0.82,True,0.16,32,Closed,0.128,False,3.0
LA00085,Rajasthan,Rajasthan_District_1,Urban Housing,State Power Corp,3.07,Tribal/Scheduled Area,12,True,51.5,0.31,350771.0,False,True,True,73,False,None,False,False,0,True,2,False,False,Not Started,0.35,False,0.44,1148,Possession Taken,0.539,True,19.0
LA00086,Madhya Pradesh,Madhya Pradesh_District_4,Highway,State PWD,38.56,Agricultural,22,True,62.4,0.58,493951.0,True,False,False,140,False,None,False,False,0,True,3,False,False,Partial,0.29,True,0.14,926,Closed,0.267,False,2.4
LA00087,Maharashtra,Maharashtra_District_2,Railway,Municipal Corporation,8.27,Agricultural,35,False,100.0,0.81,1159831.0,False,True,False,243,False,None,False,False,0,False,14,False,False,Full,0.72,False,0.38,1535,Possession Taken,0.265,False,1.0
LA00088,Maharashtra,Maharashtra_District_1,Industrial Corridor,Irrigation Dept,6.72,Agricultural,22,False,44.4,0.55,403239.0,False,True,False,152,False,None,False,False,0,True,4,True,False,Full,0.63,True,0.49,1093,Award Declared,0.281,False,2.0
LA00089,Karnataka,Karnataka_District_1,Railway,Irrigation Dept,8.84,Forest,34,True,77.6,0.57,533514.0,False,True,False,598,False,None,False,False,0,True,15,True,True,Partial,0.36,True,0.47,1009,Compensation Disbursed,0.149,False,3.5
LA00090,Rajasthan,Rajasthan_District_1,Mining,State PWD,1.1,Forest,354,True,50.4,0.59,847450.0,True,True,False,280,False,None,False,False,0,False,74,False,False,Not Started,0.75,True,0.44,1344,Closed,0.634,True,20.1
LA00091,Rajasthan,Rajasthan_District_3,Railway,Indian Railways,17.4,Forest,185,True,95.8,0.88,504712.0,True,False,False,111,True,Compensation Dispute,True,False,8,False,80,True,False,Partial,0.59,True,0.16,384,Compensation Disbursed,0.576,True,24.1
LA00092,Madhya Pradesh,Madhya Pradesh_District_2,Railway,State PWD,14.65,Forest,76,True,86.2,0.82,769489.0,False,True,True,283,False,None,False,False,0,True,24,False,False,Not Started,0.38,True,0.56,919,Award Declared,0.308,False,4.2
LA00093,Uttar Pradesh,Uttar Pradesh_District_1,Highway,Irrigation Dept,8.72,Agricultural,24,True,85.8,0.91,588485.0,True,True,False,356,True,Title Dispute,True,False,38,False,6,False,False,Not Started,0.77,False,0.77,1581,Award Declared,0.428,False,2.3
LA00094,Gujarat,Gujarat_District_1,Mining,Municipal Corporation,438.04,Tribal/Scheduled Area,40,False,73.3,0.76,251338.0,True,True,True,87,True,Compensation Dispute,True,False,29,False,14,False,False,Not Started,0.76,True,0.35,1105,Notification,0.566,True,14.7
LA00095,West Bengal,West Bengal_District_4,Irrigation,Municipal Corporation,73.53,Urban/Residential,19,False,99.8,0.25,324829.0,False,True,True,86,False,None,False,False,0,False,6,False,False,Full,0.67,True,0.3,1231,Closed,0.394,False,4.0
LA00096,Rajasthan,Rajasthan_District_3,Urban Housing,Indian Railways,138.98,Tribal/Scheduled Area,95,True,94.9,0.97,530047.0,False,True,False,229,False,None,False,False,0,True,50,False,False,Not Started,0.5,False,0.16,390,Closed,0.299,False,0.0
LA00097,Odisha,Odisha_District_3,Industrial Corridor,State Industrial Dev. Corp,5.88,Agricultural,41,False,32.5,0.47,322004.0,True,True,False,78,True,Title Dispute,True,False,13,True,20,False,False,Not Started,0.65,False,0.19,946,Possession Taken,0.627,True,24.4
LA00098,Punjab,Punjab_District_4,Highway,State Power Corp,28.15,Urban/Residential,48,False,74.4,0.69,755981.0,False,True,False,169,False,None,False,False,0,True,9,True,True,Partial,0.27,True,0.28,166,Award Declared,0.196,False,2.8
LA00099,Maharashtra,Maharashtra_District_4,Mining,Irrigation Dept,41.96,Forest,141,True,84.5,1.0,468445.0,False,True,False,278,False,None,False,False,0,False,69,False,False,Full,0.75,True,0.24,764,Compensation Disbursed,0.246,False,3.5
LA00100,Gujarat,Gujarat_District_1,Mining,Indian Railways,18.67,Forest,20,False,100.0,0.4,365368.0,False,True,False,1006,False,None,False,False,0,True,11,False,False,Not Started,0.45,True,0.35,57,Closed,0.252,False,0.5
LA00101,Punjab,Punjab_District_3,Irrigation,NHAI,46.34,Forest,95,True,76.6,0.79,447733.0,False,True,False,70,False,None,False,False,0,False,53,False,False,Partial,0.42,True,0.49,834,Possession Taken,0.389,False,2.8
LA00102,Bihar,Bihar_District_4,Urban Housing,State Power Corp,10.05,Tribal/Scheduled Area,100,True,96.8,1.0,265405.0,False,True,False,728,False,None,False,False,0,True,10,False,False,Partial,0.39,False,0.32,978,Award Declared,0.191,False,2.4
LA00103,Gujarat,Gujarat_District_2,Industrial Corridor,Irrigation Dept,3.06,Forest,4,True,92.3,0.91,352981.0,True,True,False,228,True,Public Purpose Challenge,False,False,0,True,1,True,False,Not Started,0.67,False,0.56,140,Notification,0.386,False,1.7
LA00104,Uttar Pradesh,Uttar Pradesh_District_3,Industrial Corridor,NHAI,4.97,Agricultural,4,True,65.4,0.62,392092.0,False,False,False,55,False,None,False,False,0,True,0,True,True,Not Started,0.32,True,0.65,1461,Award Declared,0.18,False,2.0
LA00105,Punjab,Punjab_District_3,Industrial Corridor,Irrigation Dept,4.4,Urban/Residential,42,True,48.7,0.54,267794.0,True,True,True,48,False,None,False,False,0,True,12,True,False,Full,0.37,True,0.49,982,Closed,0.515,True,14.3
LA00106,Bihar,Bihar_District_2,Urban Housing,State PWD,33.59,Forest,130,True,68.8,0.65,749541.0,False,True,False,152,False,None,False,False,0,True,49,False,False,Not Started,0.81,True,0.43,1201,Possession Taken,0.342,False,1.1
LA00107,Madhya Pradesh,Madhya Pradesh_District_1,Mining,NHAI,4.46,Urban/Residential,151,True,100.0,1.0,334020.0,False,False,False,431,False,None,False,False,0,True,89,True,True,Not Started,0.16,True,0.31,1092,Award Declared,0.227,False,0.8
