case_id,state,district,project_type,acquiring_authority,land_area_hectares,land_type,num_affected_families,sia_conducted,consent_percentage,compensation_offered_per_hectare,compensation_disputed,land_records_digitized,survey_settlement_pending,approval_timeline_days,court_case_filed,litigation_type,case_pending_court,stay_order_issued,case_pendency_duration_months,r_and_r_plan_prepared,families_to_be_resettled,rehabilitation_site_ready,livelihood_restoration_provided,possession_status,stakeholder_responsiveness_score,awarding_officer_assigned,district_historical_delay_rate,days_since_notification,stage_of_process,delayed,delay_duration_months
LA00036,Gujarat,Gujarat_District_1,Highway,Indian Railways,3.15,Tribal/Scheduled Area,61,True,91.8,705343.0,False,True,False,334,False,None,False,False,0,True,32,False,False,Not Started,0.85,False,0.35,776,Possession Taken,False,2.4
LA00037,Maharashtra,Maharashtra_District_3,Railway,State Industrial Dev. Corp,17.97,Forest,24,True,66.9,144753.0,False,True,False,213,False,None,False,False,0,True,10,True,False,Full,0.39,True,0.53,626,Award Declared,False,4.8
LA00038,Maharashtra,Maharashtra_District_1,Mining,State Industrial Dev. Corp,65.72,Agricultural,5,True,84.1,764817.0,False,True,True,161,False,None,False,False,0,True,1,True,False,Partial,0.62,True,0.49,1248,Award Declared,False,0.0
LA00039,Uttar Pradesh,Uttar Pradesh_District_3,Industrial Corridor,Irrigation Dept,46.05,Agricultural,10,False,57.5,402182.0,False,False,False,211,False,None,False,False,0,True,4,False,False,Partial,0.53,True,0.65,411,Award Declared,False,4.2
LA00040,Uttar Pradesh,Uttar Pradesh_District_2,Mining,State Power Corp,11.28,Urban/Residential,47,False,100.0,391571.0,False,True,False,355,False,None,False,False,0,False,14,False,False,Partial,0.81,True,0.17,731,Award Declared,False,0.3
LA00041,Maharashtra,Maharashtra_District_3,Industrial Corridor,Irrigation Dept,14.93,Tribal/Scheduled Area,15,True,25.0,455691.0,True,True,False,398,True,Compensation Dispute,True,False,49,False,6,False,False,Full,0.56,False,0.53,136,Award Declared,True,41.4
LA00042,Bihar,Bihar_District_4,Mining,Indian Railways,3.89,Urban/Residential,493,True,89.6,964476.0,False,False,False,124,False,None,False,False,0,False,94,False,False,Partial,0.6,True,0.32,1159,Possession Taken,False,4.2
LA00043,West Bengal,West Bengal_District_2,Highway,Municipal Corporation,49.05,Urban/Residential,46,True,100.0,280275.0,False,True,False,121,False,None,False,False,0,True,10,False,False,Partial,0.88,True,0.4,394,SIA,False,4.2
LA00044,Rajasthan,Rajasthan_District_2,Irrigation,State Power Corp,14.82,Tribal/Scheduled Area,6,False,31.7,998689.0,True,True,True,83,True,Compensation Dispute,True,True,9,False,1,False,False,Full,0.52,True,0.08,1214,Possession Taken,True,25.2
LA00045,Odisha,Odisha_District_4,Mining,State Industrial Dev. Corp,58.76,Agricultural,71,True,95.0,438007.0,False,True,False,237,True,Title Dispute,False,False,0,True,30,True,True,Not Started,0.62,True,0.5,141,SIA,False,3.8
LA00046,Uttar Pradesh,Uttar Pradesh_District_3,Highway,State PWD,58.68,Agricultural,34,False,77.3,163249.0,False,True,False,425,False,None,False,False,0,False,12,False,False,Not Started,0.65,True,0.65,302,Closed,False,0.0
LA00047,Uttar Pradesh,Uttar Pradesh_District_1,Urban Housing,Irrigation Dept,36.41,Agricultural,5,False,59.7,296627.0,True,True,True,231,True,Title Dispute,True,False,29,True,0,False,False,Full,0.35,True,0.77,887,Possession Taken,True,19.2
LA00048,Rajasthan,Rajasthan_District_3,Urban Housing,State PWD,1.51,Urban/Residential,14,False,58.8,868168.0,True,True,True,255,False,None,False,False,0,False,6,False,False,Full,0.37,True,0.16,715,SIA,False,0.0
LA00049,Gujarat,Gujarat_District_3,Urban Housing,NHAI,3.47,Tribal/Scheduled Area,54,True,46.1,757737.0,True,True,True,68,False,None,False,False,0,True,12,True,True,Partial,0.36,True,0.21,1551,Closed,True,32.6
LA00050,Uttar Pradesh,Uttar Pradesh_District_4,Urban Housing,State PWD,14.88,Urban/Residential,355,False,57.9,659838.0,False,True,False,250,False,None,False,False,0,False,42,True,False,Not Started,0.79,True,0.27,1200,SIA,False,3.1
LA00051,West Bengal,West Bengal_District_4,Railway,Irrigation Dept,5.21,Agricultural,94,False,70.7,284865.0,True,False,False,146,True,Title Dispute,True,False,28,False,33,False,False,Not Started,0.8,True,0.3,717,SIA,True,25.7
LA00052,Madhya Pradesh,Madhya Pradesh_District_2,Highway,Municipal Corporation,34.21,Urban/Residential,17,False,66.7,390684.0,False,True,False,558,False,None,False,False,0,True,6,False,False,Full,0.62,True,0.56,925,Compensation Disbursed,False,0.4
LA00053,West Bengal,West Bengal_District_3,Power Plant,Irrigation Dept,107.09,Urban/Residential,65,True,57.6,390337.0,True,True,False,178,True,Title Dispute,False,False,0,True,24,False,False,Full,0.33,True,0.17,39,Notification,False,3.1
LA00054,Uttar Pradesh,Uttar Pradesh_District_1,Highway,State Industrial Dev. Corp,4.2,Agricultural,20,False,100.0,495015.0,False,True,False,348,True,Title Dispute,True,False,19,True,8,True,True,Full,0.2,False,0.77,507,Award Declared,False,1.4
LA00055,Gujarat,Gujarat_District_1,Power Plant,State Industrial Dev. Corp,5.59,Forest,9,True,66.1,413486.0,False,True,False,88,False,None,False,False,0,False,1,False,False,Not Started,0.65,True,0.35,671,Notification,False,3.5
LA00056,Madhya Pradesh,Madhya Pradesh_District_1,Irrigation,NHAI,1.46,Urban/Residential,17,True,44.0,296633.0,False,True,False,194,True,Compensation Dispute,True,True,18,True,9,True,True,Not Started,0.83,True,0.31,1525,SIA,False,2.8
LA00057,Bihar,Bihar_District_4,Railway,State PWD,9.95,Agricultural,37,False,48.7,388792.0,False,False,False,346,False,None,False,False,0,False,6,False,False,Not Started,0.74,False,0.32,353,Compensation Disbursed,False,5.9
LA00058,Gujarat,Gujarat_District_3,Highway,State PWD,41.04,Urban/Residential,2,True,43.2,393045.0,True,True,True,405,True,Public Purpose Challenge,True,False,35,True,0,False,False,Not Started,0.51,True,0.21,1364,Notification,True,26.6
LA00059,Rajasthan,Rajasthan_District_4,Railway,State Industrial Dev. Corp,11.32,Urban/Residential,14,True,50.5,743552.0,True,False,False,258,True,Title Dispute,True,False,73,False,4,False,False,Full,0.67,True,0.31,1547,SIA,False,2.3
LA00060,Bihar,Bihar_District_4,Industrial Corridor,Indian Railways,6.56,Agricultural,12,False,92.8,433433.0,False,True,False,238,True,Compensation Dispute,False,False,0,True,3,False,False,Full,0.4,True,0.32,1778,Possession Taken,False,0.9
LA00061,Gujarat,Gujarat_District_3,Industrial Corridor,State Industrial Dev. Corp,4.45,Forest,20,True,64.0,1005025.0,False,True,True,81,False,None,False,False,0,False,10,False,False,Partial,0.85,True,0.21,325,Closed,False,3.1
LA00062,Gujarat,Gujarat_District_3,Power Plant,Municipal Corporation,7.74,Agricultural,102,False,43.7,565007.0,False,True,True,219,False,None,False,False,0,True,32,True,False,Partial,0.66,True,0.21,104,Closed,False,1.7
LA00063,Madhya Pradesh,Madhya Pradesh_District_2,Irrigation,Indian Railways,7.22,Urban/Residential,88,True,59.5,1109136.0,True,True,True,48,False,None,False,False,0,True,21,False,False,Not Started,0.41,True,0.56,169,Compensation Disbursed,True,29.1
LA00064,Uttar Pradesh,Uttar Pradesh_District_1,Power Plant,Municipal Corporation,6.96,Agricultural,48,True,93.3,568381.0,False,True,False,51,False,None,False,False,0,False,19,False,False,Partial,0.26,True,0.77,450,Notification,False,2.2
LA00065,Gujarat,Gujarat_District_4,Railway,NHAI,0.68,Forest,89,True,65.7,349837.0,False,True,False,67,False,None,False,False,0,True,28,True,True,Not Started,0.12,True,0.45,806,Award Declared,False,1.2
LA00066,Maharashtra,Maharashtra_District_4,Urban Housing,Indian Railways,33.94,Urban/Residential,20,False,71.4,329345.0,False,True,False,271,False,None,False,False,0,True,8,True,False,Not Started,0.55,True,0.24,1498,Closed,False,1.9
LA00067,Maharashtra,Maharashtra_District_3,Industrial Corridor,NHAI,2.87,Agricultural,115,False,100.0,282633.0,False,True,False,319,False,None,False,False,0,True,19,True,True,Full,0.44,False,0.53,1784,Possession Taken,False,0.0
LA00068,Punjab,Punjab_District_1,Power Plant,NHAI,79.01,Urban/Residential,17,True,82.4,374109.0,False,True,False,217,False,None,False,False,0,True,5,False,False,Partial,0.75,True,0.3,323,Notification,False,1.6
LA00069,Uttar Pradesh,Uttar Pradesh_District_4,Irrigation,Indian Railways,0.96,Agricultural,53,True,96.5,804797.0,False,True,False,184,True,Compensation Dispute,True,False,22,True,15,True,True,Partial,0.43,True,0.27,868,Closed,False,1.6
LA00070,Odisha,Odisha_District_1,Urban Housing,Irrigation Dept,2.91,Forest,38,True,82.8,179777.0,False,True,True,123,False,None,False,False,0,True,22,False,False,Partial,0.95,True,0.49,895,Closed,True,28.9
LA00071,Rajasthan,Rajasthan_District_4,Railway,Indian Railways,7.12,Agricultural,8,True,39.5,505318.0,False,True,False,625,True,Title Dispute,True,False,22,True,4,False,False,Partial,0.78,True,0.31,934,Possession Taken,False,1.8
LA00072,Odisha,Odisha_District_3,Urban Housing,Indian Railways,8.13,Agricultural,119,False,65.9,101702.0,False,False,True,713,False,None,False,False,0,False,19,False,False,Full,0.7,False,0.19,45,Possession Taken,False,3.1
LA00073,Punjab,Punjab_District_3,Highway,State Industrial Dev. Corp,34.05,Urban/Residential,16,False,78.6,799088.0,False,False,False,177,True,Title Dispute,True,True,8,True,2,False,False,Partial,0.51,True,0.49,1436,Notification,False,4.2
LA00074,Uttar Pradesh,Uttar Pradesh_District_3,Irrigation,State Power Corp,10.12,Urban/Residential,71,True,39.2,460215.0,False,True,False,184,True,Public Purpose Challenge,True,False,69,True,31,True,False,Not Started,0.72,True,0.65,1402,Award Declared,True,21.0
LA00075,Uttar Pradesh,Uttar Pradesh_District_3,Irrigation,State PWD,7.45,Tribal/Scheduled Area,16,True,70.3,478110.0,False,True,True,99,True,Compensation Dispute,True,False,40,True,7,False,False,Partial,0.74,True,0.65,1246,Award Declared,False,3.2
LA00076,Karnataka,Karnataka_District_3,Power Plant,Municipal Corporation,38.8,Wasteland,128,False,71.8,324868.0,False,True,True,145,False,None,False,False,0,False,44,False,False,Partial,0.4,True,0.27,1388,Compensation Disbursed,False,0.0
LA00077,Rajasthan,Rajasthan_District_2,Irrigation,Irrigation Dept,8.78,Tribal/Scheduled Area,49,True,55.2,836763.0,True,True,False,319,False,None,False,False,0,True,26,True,True,Not Started,0.28,True,0.08,627,Notification,False,1.6
LA00078,Gujarat,Gujarat_District_1,Industrial Corridor,Irrigation Dept,36.48,Urban/Residential,11,True,98.2,189456.0,False,True,False,144,False,None,False,False,0,True,3,True,True,Partial,0.41,True,0.35,1166,Possession Taken,False,4.8
LA00079,Odisha,Odisha_District_3,Irrigation,State PWD,55.39,Tribal/Scheduled Area,40,True,60.6,513470.0,False,True,False,269,True,Title Dispute,True,False,19,False,16,False,False,Not Started,0.23,False,0.19,1529,SIA,True,32.8
LA00080,Odisha,Odisha_District_3,Power Plant,State Industrial Dev. Corp,19.17,Tribal/Scheduled Area,129,True,52.0,365294.0,False,False,False,55,False,None,False,False,0,True,74,False,False,Partial,0.77,True,0.19,1559,Closed,False,3.5
LA00081,Uttar Pradesh,Uttar Pradesh_District_3,Power Plant,State Industrial Dev. Corp,19.75,Tribal/Scheduled Area,45,True,53.6,418189.0,True,True,False,101,False,None,False,False,0,True,25,False,False,Full,0.71,True,0.65,841,Closed,True,33.8
LA00082,Rajasthan,Rajasthan_District_1,Railway,State Industrial Dev. Corp,20.1,Agricultural,8,True,82.1,632257.0,True,True,True,788,True,Compensation Dispute,True,False,13,False,0,False,False,Partial,0.75,False,0.44,1051,Compensation Disbursed,True,28.3
LA00083,Uttar Pradesh,Uttar Pradesh_District_4,Highway,NHAI,21.86,Agricultural,68,False,78.8,368695.0,False,True,False,65,False,None,False,False,0,False,11,False,False,Not Started,0.84,True,0.27,391,SIA,False,2.8
LA00084,Rajasthan,Rajasthan_District_3,Industrial Corridor,NHAI,12.35,Agricultural,72,False,60.4,743054.0,False,True,False,304,False,None,False,False,0,True,22,True,True,Partial,0.82,True,0.16,32,Closed,False,0.6
LA00085,Rajasthan,Rajasthan_District_1,Urban Housing,State Power Corp,3.07,Tribal/Scheduled Area,12,True,51.5,350771.0,False,True,True,73,False,None,False,False,0,True,2,False,False,Not Started,0.35,False,0.44,1148,Possession Taken,False,1.0
LA00086,Madhya Pradesh,Madhya Pradesh_District_4,Highway,State PWD,38.56,Agricultural,22,True,62.4,493951.0,True,False,False,140,False,None,False,False,0,True,3,False,False,Partial,0.29,True,0.14,926,Closed,False,4.6
LA00087,Maharashtra,Maharashtra_District_2,Railway,Municipal Corporation,8.27,Agricultural,35,False,100.0,1159831.0,False,True,False,243,False,None,False,False,0,False,14,False,False,Full,0.72,False,0.38,1535,Possession Taken,False,0.4
LA00088,Maharashtra,Maharashtra_District_1,Industrial Corridor,Irrigation Dept,6.72,Agricultural,22,False,44.4,403239.0,False,True,False,152,False,None,False,False,0,True,4,True,False,Full,0.63,True,0.49,1093,Award Declared,False,1.9
LA00089,Karnataka,Karnataka_District_1,Railway,Irrigation Dept,8.84,Forest,34,True,77.6,533514.0,False,True,False,598,False,None,False,False,0,True,15,True,True,Partial,0.36,True,0.47,1009,Compensation Disbursed,False,0.0
LA00090,Rajasthan,Rajasthan_District_1,Mining,State PWD,1.1,Forest,354,True,50.4,847450.0,True,True,False,280,False,None,False,False,0,False,74,False,False,Not Started,0.75,True,0.44,1344,Closed,True,28.6
LA00091,Rajasthan,Rajasthan_District_3,Railway,Indian Railways,17.4,Forest,185,True,95.8,504712.0,True,False,False,111,True,Compensation Dispute,True,False,8,False,80,True,False,Partial,0.59,True,0.16,384,Compensation Disbursed,True,26.8
LA00092,Madhya Pradesh,Madhya Pradesh_District_2,Railway,State PWD,14.65,Forest,76,True,86.2,769489.0,False,True,True,283,False,None,False,False,0,True,24,False,False,Not Started,0.38,True,0.56,919,Award Declared,False,0.0
LA00093,Uttar Pradesh,Uttar Pradesh_District_1,Highway,Irrigation Dept,8.72,Agricultural,24,True,85.8,588485.0,True,True,False,356,True,Title Dispute,True,False,38,False,6,False,False,Not Started,0.77,False,0.77,1581,Award Declared,True,25.2
LA00094,Gujarat,Gujarat_District_1,Mining,Municipal Corporation,438.04,Tribal/Scheduled Area,40,False,73.3,251338.0,True,True,True,87,True,Compensation Dispute,True,False,29,False,14,False,False,Not Started,0.76,True,0.35,1105,Notification,True,20.7
LA00095,West Bengal,West Bengal_District_4,Irrigation,Municipal Corporation,73.53,Urban/Residential,19,False,99.8,324829.0,False,True,True,86,False,None,False,False,0,False,6,False,False,Full,0.67,True,0.3,1231,Closed,False,1.8
LA00096,Rajasthan,Rajasthan_District_3,Urban Housing,Indian Railways,138.98,Tribal/Scheduled Area,95,True,94.9,530047.0,False,True,False,229,False,None,False,False,0,True,50,False,False,Not Started,0.5,False,0.16,390,Closed,False,3.0
LA00097,Odisha,Odisha_District_3,Industrial Corridor,State Industrial Dev. Corp,5.88,Agricultural,41,False,32.5,322004.0,True,True,False,78,True,Title Dispute,True,False,13,True,20,False,False,Not Started,0.65,False,0.19,946,Possession Taken,False,2.1
LA00098,Punjab,Punjab_District_4,Highway,State Power Corp,28.15,Urban/Residential,48,False,74.4,755981.0,False,True,False,169,False,None,False,False,0,True,9,True,True,Partial,0.27,True,0.28,166,Award Declared,False,0.0
LA00099,Maharashtra,Maharashtra_District_4,Mining,Irrigation Dept,41.96,Forest,141,True,84.5,468445.0,False,True,False,278,False,None,False,False,0,False,69,False,False,Full,0.75,True,0.24,764,Compensation Disbursed,True,16.6
LA00100,Gujarat,Gujarat_District_1,Mining,Indian Railways,18.67,Forest,20,False,100.0,365368.0,False,True,False,1006,False,None,False,False,0,True,11,False,False,Not Started,0.45,True,0.35,57,Closed,False,0.0
LA00101,Punjab,Punjab_District_3,Irrigation,NHAI,46.34,Forest,95,True,76.6,447733.0,False,True,False,70,False,None,False,False,0,False,53,False,False,Partial,0.42,True,0.49,834,Possession Taken,False,2.6
LA00102,Bihar,Bihar_District_4,Urban Housing,State Power Corp,10.05,Tribal/Scheduled Area,100,True,96.8,265405.0,False,True,False,728,False,None,False,False,0,True,10,False,False,Partial,0.39,False,0.32,978,Award Declared,False,1.0
LA00103,Gujarat,Gujarat_District_2,Industrial Corridor,Irrigation Dept,3.06,Forest,4,True,92.3,352981.0,True,True,False,228,True,Public Purpose Challenge,False,False,0,True,1,True,False,Not Started,0.67,False,0.56,140,Notification,False,1.2
LA00104,Uttar Pradesh,Uttar Pradesh_District_3,Industrial Corridor,NHAI,4.97,Agricultural,4,True,65.4,392092.0,False,False,False,55,False,None,False,False,0,True,0,True,True,Not Started,0.32,True,0.65,1461,Award Declared,False,0.3
LA00105,Punjab,Punjab_District_3,Industrial Corridor,Irrigation Dept,4.4,Urban/Residential,42,True,48.7,267794.0,True,True,True,48,False,None,False,False,0,True,12,True,False,Full,0.37,True,0.49,982,Closed,True,21.6
LA00106,Bihar,Bihar_District_2,Urban Housing,State PWD,33.59,Forest,130,True,68.8,749541.0,False,True,False,152,False,None,False,False,0,True,49,False,False,Not Started,0.81,True,0.43,1201,Possession Taken,True,26.7
LA00107,Madhya Pradesh,Madhya Pradesh_District_1,Mining,NHAI,4.46,Urban/Residential,151,True,100.0,334020.0,False,False,False,431,False,None,False,False,0,True,89,True,True,Not Started,0.16,True,0.31,1092,Award Declared,False,2.3
LA00108,Maharashtra,Maharashtra_District_3,Urban Housing,State PWD,4.26,Agricultural,38,False,81.5,875521.0,True,False,False,473,False,None,False,False,0,False,21,False,False,Not Started,0.39,True,0.53,1174,Possession Taken,True,17.5
LA00109,Bihar,Bihar_District_3,Industrial Corridor,Irrigation Dept,9.84,Forest,123,True,65.6,357855.0,False,True,False,215,False,None,False,False,0,True,35,False,False,Partial,0.58,True,0.27,1228,Closed,False,3.2
LA00110,Bihar,Bihar_District_1,Irrigation,Irrigation Dept,9.98,Agricultural,16,True,37.2,267911.0,True,True,False,84,True,Title Dispute,True,False,25,True,8,True,True,Not Started,0.38,True,0.2,522,Award Declared,True,18.2
LA00111,West Bengal,West Bengal_District_4,Railway,State Industrial Dev. Corp,6.86,Agricultural,20,False,52.4,676377.0,True,True,True,168,False,None,False,False,0,False,4,False,False,Not Started,0.58,True,0.3,1560,Compensation Disbursed,False,2.2
LA00112,Punjab,Punjab_District_4,Power Plant,State Power Corp,10.24,Tribal/Scheduled Area,11,False,90.4,359304.0,False,True,False,241,False,None,False,False,0,True,5,False,False,Partial,0.14,True,0.28,56,Notification,False,0.0
LA00113,Madhya Pradesh,Madhya Pradesh_District_4,Railway,NHAI,21.33,Agricultural,57,True,49.4,476611.0,False,True,False,112,False,None,False,False,0,True,10,False,False,Partial,0.69,True,0.14,1746,Award Declared,False,2.9
LA00114,West Bengal,West Bengal_District_1,Power Plant,State PWD,21.83,Agricultural,6,False,68.1,232447.0,False,True,True,68,True,Title Dispute,True,False,10,False,3,False,False,Partial,0.32,False,0.3,1240,Notification,False,1.8
LA00115,Gujarat,Gujarat_District_3,Railway,NHAI,5.53,Agricultural,14,True,54.8,867093.0,True,True,False,167,True,Public Purpose Challenge,False,False,0,True,6,False,False,Full,0.75,True,0.21,81,SIA,False,2.1
