case_id,objection_type,objecting_groups,prior_broken_promises,turnout_ratio,gram_sabha_outcome,escalation_language,asset_loss_type
LA00069,none,,False,0.57,rejected,False,none
LA00070,procedural,tenant cultivators;landowning farmers;representatives of the Scheduled Tribe community,True,0.66,rejected,False,none
LA00071,none,,False,1.0,passed,False,none
LA00072,none,,False,0.05,deferred,False,none
LA00073,procedural,local shopkeepers and traders;tenant cultivators;elected Panchayat members,True,0.87,deferred,False,community water tank
LA00074,none,,True,0.2,passed,True,community water tank
LA00075,none,,False,0.5,passed,False,none
LA00076,none,,False,0.95,passed,False,community water tank
LA00077,procedural,representatives of the Scheduled Tribe community;elected Panchayat members,False,0.33,passed,False,none
LA00078,none,,True,0.91,passed,False,none
LA00079,fundamental,representatives of the Scheduled Tribe community;local shopkeepers and traders,False,0.47,rejected,True,none
LA00080,none,,False,0.66,rejected,False,none
LA00081,fundamental,landowning farmers,False,0.18,deferred,True,none
LA00082,procedural,landowning farmers,True,1.0,passed,True,none
LA00083,none,,False,0.88,passed,False,irrigation source
LA00084,procedural,tenant cultivators;agricultural labourers,False,0.05,deferred,False,none
LA00085,procedural,landowning farmers,False,0.67,rejected,False,none
LA00086,none,,False,0.5,passed,False,none
LA00087,none,,False,0.83,passed,False,none
LA00088,none,,False,0.91,passed,False,none
LA00089,none,,False,0.79,passed,False,sacred grove
LA00090,none,,True,0.89,passed,False,none
LA00091,procedural,tenant cultivators,False,0.63,passed,False,none
LA00092,procedural,elected Panchayat members;landowning farmers,False,0.93,passed,False,none
LA00093,none,,True,0.42,passed,True,grazing commons
LA00094,fundamental,agricultural labourers;landowning farmers,False,0.89,rejected,True,none
LA00095,fundamental,elected Panchayat members;agricultural labourers,False,0.48,rejected,True,none
LA00096,procedural,tenant cultivators;representatives of the Scheduled Tribe community;landowning farmers,False,0.43,passed,False,sacred grove
LA00097,procedural,tenant cultivators,False,0.39,passed,True,none
LA00098,none,,False,0.99,passed,False,none
LA00099,fundamental,landowning farmers,False,0.91,rejected,False,none
LA00100,none,,False,0.49,passed,False,none
LA00101,none,,True,0.43,passed,False,none
LA00102,fundamental,landowning farmers;elected Panchayat members,False,0.74,deferred,False,none
LA00103,none,,False,2.0,passed,False,none
LA00104,none,,True,2.0,passed,False,none
LA00105,procedural,landowning farmers;the local women's self-help group,True,0.31,deferred,False,none
LA00106,fundamental,representatives of the Scheduled Tribe community;tenant cultivators,False,0.35,rejected,False,none
LA00107,procedural,tenant cultivators,False,0.64,deferred,False,community water tank
LA00108,procedural,local shopkeepers and traders,False,0.64,deferred,False,none
LA00109,none,,False,0.77,passed,False,grazing commons
LA00110,fundamental,landowning farmers;the local women's self-help group;representatives of the Scheduled Tribe community,False,0.5,passed,False,none
LA00111,none,,False,0.68,passed,False,none
LA00112,none,,False,0.17,passed,False,none
LA00113,none,,False,0.82,deferred,False,none
LA00114,fundamental,landowning farmers,False,0.74,rejected,False,irrigation source
LA00115,none,,False,0.64,passed,False,none
LA00116,none,,False,0.6,passed,False,none
LA00117,procedural,tenant cultivators;elected Panchayat members;landowning farmers,True,0.29,deferred,False,irrigation source
LA00118,none,,False,0.62,passed,True,none
LA00119,procedural,landowning farmers;tenant cultivators;agricultural labourers,False,0.51,deferred,False,none
LA00120,procedural,the local women's self-help group;landowning farmers;elected Panchayat members,True,0.17,passed,True,none
LA00121,fundamental,elected Panchayat members,False,0.53,deferred,False,none
LA00122,none,,False,0.62,passed,False,grazing commons
LA00123,procedural,elected Panchayat members;tenant cultivators,False,0.34,deferred,False,none
LA00124,fundamental,tenant cultivators,False,0.34,rejected,True,sacred grove
LA00125,none,,False,0.23,passed,False,irrigation source
LA00126,none,,False,0.73,passed,False,none
LA00127,none,,False,0.87,passed,False,none
LA00128,none,,False,0.46,passed,False,sacred grove
LA00129,none,,False,0.2,passed,False,grazing commons
LA00130,procedural,representatives of the Scheduled Tribe community;local shopkeepers and traders,False,0.42,deferred,False,sacred grove
LA00131,none,,False,0.61,deferred,False,none
LA00132,procedural,tenant cultivators,False,1.05,deferred,False,none
LA00133,fundamental,the local women's self-help group;representatives of the Scheduled Tribe community;landowning farmers,True,0.44,rejected,False,none
LA00134,procedural,elected Panchayat members;agricultural labourers;the local women's self-help group,False,0.61,deferred,False,none
LA00135,none,,False,0.62,deferred,False,irrigation source
LA00136,none,,False,0.57,passed,False,none
LA00137,procedural,agricultural labourers,False,0.22,passed,True,none
LA00138,none,,True,0.4,passed,False,none
LA00139,none,,False,0.89,deferred,False,none
LA00140,fundamental,landowning farmers;tenant cultivators;representatives of the Scheduled Tribe community,False,0.58,passed,False,none
LA00141,none,,False,0.22,deferred,False,none
LA00142,fundamental,agricultural labourers;landowning farmers,False,0.61,deferred,True,irrigation source
LA00143,fundamental,the local women's self-help group;agricultural labourers,False,0.87,passed,True,none
LA00144,fundamental,landowning farmers;representatives of the Scheduled Tribe community;agricultural labourers,False,0.7,deferred,False,none
LA00145,fundamental,tenant cultivators;elected Panchayat members,False,0.32,deferred,False,none
LA00146,none,,True,0.73,passed,False,none
LA00147,fundamental,tenant cultivators,True,0.75,passed,False,none
LA00148,none,,False,0.55,passed,True,none
LA00149,fundamental,tenant cultivators,False,0.77,deferred,True,none
LA00150,fundamental,tenant cultivators;landowning farmers,False,0.5,rejected,True,sacred grove
LA00151,none,,False,0.57,passed,True,none
LA00152,none,,False,0.12,passed,False,none
LA00153,procedural,the local women's self-help group,False,0.7,passed,False,irrigation source
LA00154,procedural,landowning farmers,False,1.02,passed,False,irrigation source
LA00155,fundamental,representatives of the Scheduled Tribe community;landowning farmers,False,0.67,passed,True,none
LA00156,none,,False,0.52,passed,False,none
LA00157,fundamental,tenant cultivators;representatives of the Scheduled Tribe community;the local women's self-help group,True,0.76,passed,False,none
LA00158,procedural,elected Panchayat members,False,0.17,passed,False,community water tank
LA00159,none,,False,0.14,passed,False,sacred grove
LA00160,procedural,representatives of the Scheduled Tribe community,False,0.15,deferred,False,none
LA00161,none,,False,0.98,passed,True,none
LA00162,fundamental,agricultural labourers,False,0.36,passed,True,none
LA00163,none,,True,0.29,passed,False,irrigation source
LA00164,fundamental,elected Panchayat members,True,0.33,rejected,True,none
LA00165,fundamental,representatives of the Scheduled Tribe community;tenant cultivators,False,0.64,rejected,False,none
LA00166,fundamental,elected Panchayat members;tenant cultivators,True,0.83,deferred,True,none
LA00167,none,,False,0.51,passed,False,grazing commons
LA00168,none,,True,0.3,passed,False,none
LA00169,none,,False,0.47,passed,False,community water tank
LA00170,none,,False,0.55,passed,False,irrigation source
LA00171,none,,False,0.91,deferred,False,irrigation source
LA00172,procedural,landowning farmers,False,0.47,deferred,True,none
LA00173,none,,False,0.6,passed,False,none
LA00174,none,,False,0.57,passed,False,none
LA00175,procedural,representatives of the Scheduled Tribe community;the local women's self-help group;agricultural labourers,False,0.39,deferred,False,none
LA00176,procedural,landowning farmers,False,0.75,deferred,False,irrigation source
LA00177,fundamental,the local women's self-help group,False,0.11,rejected,True,none
LA00178,none,,False,0.62,rejected,False,none
LA00179,procedural,landowning farmers;elected Panchayat members;the local women's self-help group,False,0.26,deferred,False,none
LA00180,none,,False,0.54,passed,False,none
LA00181,none,,True,0.57,passed,False,none
LA00182,none,,False,0.52,passed,False,irrigation source
LA00183,none,,False,0.74,passed,False,none
LA00184,none,,False,0.53,passed,False,none
LA00185,procedural,landowning farmers;elected Panchayat members,False,0.47,passed,False,irrigation source
LA00186,fundamental,the local women's self-help group;agricultural labourers;landowning farmers,False,0.13,rejected,True,none
LA00187,fundamental,the local women's self-help group;agricultural labourers,False,0.89,deferred,True,none
LA00188,none,,False,0.47,passed,False,none
LA00189,procedural,elected Panchayat members;landowning farmers;representatives of the Scheduled Tribe community,False,0.26,deferred,False,none
LA00190,fundamental,elected Panchayat members;agricultural labourers;landowning farmers,False,0.38,passed,False,none
LA00191,none,,False,0.62,passed,False,none
LA00192,procedural,landowning farmers;elected Panchayat members,True,0.8,deferred,False,none
LA00193,fundamental,the local women's self-help group;representatives of the Scheduled Tribe community,False,0.36,passed,False,none
LA00194,procedural,landowning farmers,False,0.67,deferred,False,none
LA00195,fundamental,landowning farmers;elected Panchayat members;tenant cultivators,False,0.3,rejected,False,none
LA00196,procedural,tenant cultivators;the local women's self-help group;landowning farmers,False,0.53,deferred,False,community water tank
LA00197,none,,False,0.74,passed,False,none
LA00198,fundamental,agricultural labourers,False,0.73,rejected,False,none
LA00199,procedural,tenant cultivators,False,0.5,rejected,False,none
LA00200,procedural,tenant cultivators;landowning farmers,True,0.61,passed,False,none
LA00201,none,,False,0.71,passed,False,community water tank
LA00202,procedural,landowning farmers;tenant cultivators,False,0.5,passed,False,none
LA00203,none,,False,0.32,passed,True,none
LA00204,none,,True,0.44,passed,False,grazing commons
LA00205,none,,False,2.0,passed,False,none
LA00206,fundamental,the local women's self-help group;agricultural labourers,False,0.45,rejected,False,none
LA00207,procedural,agricultural labourers,True,0.88,passed,False,none
LA00208,none,,False,0.43,deferred,False,irrigation source
LA00209,none,,False,0.23,passed,False,community water tank
LA00210,procedural,elected Panchayat members,False,0.63,passed,False,none
LA00211,fundamental,elected Panchayat members;local shopkeepers and traders,False,0.47,deferred,True,community water tank
LA00212,procedural,tenant cultivators,False,0.89,deferred,False,sacred grove
LA00213,procedural,landowning farmers;representatives of the Scheduled Tribe community,False,0.8,passed,False,none
LA00214,none,,False,0.05,passed,True,community water tank
LA00215,fundamental,representatives of the Scheduled Tribe community,False,0.5,rejected,False,none
LA00216,none,,False,0.28,passed,False,irrigation source
LA00217,procedural,landowning farmers;tenant cultivators,False,0.05,deferred,False,none
LA00218,none,,False,0.88,deferred,False,none
LA00219,none,,True,0.4,passed,False,none
LA00220,none,,False,0.18,passed,False,none
LA00221,none,,False,0.54,deferred,False,none
LA00222,procedural,agricultural labourers;tenant cultivators;the local women's self-help group,False,0.64,passed,False,none
LA00223,none,,False,0.35,deferred,True,none
LA00224,fundamental,elected Panchayat members,False,1.0,passed,False,none
LA00225,procedural,tenant cultivators,True,0.84,rejected,False,none
LA00226,fundamental,landowning farmers,False,0.49,deferred,False,none
LA00227,fundamental,the local women's self-help group;representatives of the Scheduled Tribe community;landowning farmers,False,0.42,rejected,False,none
LA00228,none,,False,0.67,passed,False,none
LA00229,none,,False,0.35,passed,False,none
LA00230,procedural,tenant cultivators;elected Panchayat members;landowning farmers,False,0.57,passed,False,none
LA00231,none,,False,0.35,passed,False,none
LA00232,none,,False,0.95,passed,False,none
LA00233,procedural,landowning farmers;tenant cultivators,False,0.6,passed,False,none
LA00234,procedural,landowning farmers;the local women's self-help group,False,0.45,passed,False,irrigation source
LA00235,none,,False,0.51,passed,False,grazing commons
LA00236,procedural,agricultural labourers,False,0.77,passed,True,irrigation source
LA00237,none,,False,0.49,passed,False,burial ground
LA00238,procedural,elected Panchayat members,False,0.42,passed,False,none
LA00239,procedural,landowning farmers;tenant cultivators;representatives of the Scheduled Tribe community,False,0.48,passed,False,none
LA00240,none,,False,0.3,deferred,False,none
LA00241,procedural,landowning farmers,False,0.5,passed,False,none
LA00242,none,,True,0.6,deferred,False,none
LA00243,procedural,landowning farmers;the local women's self-help group;agricultural labourers,False,0.21,deferred,False,none
LA00244,procedural,local shopkeepers and traders;representatives of the Scheduled Tribe community;landowning farmers,False,0.36,rejected,False,none
LA00245,procedural,landowning farmers;representatives of the Scheduled Tribe community,False,0.75,passed,True,none
LA00246,fundamental,the local women's self-help group,False,0.42,deferred,True,irrigation source
LA00247,none,,False,0.43,passed,False,none
LA00248,none,,False,0.33,deferred,True,none
LA00249,none,,False,0.53,deferred,False,none
LA00250,none,,False,0.23,passed,False,none
LA00251,none,,True,0.35,deferred,True,none
LA00252,none,,False,8.0,passed,False,none
LA00253,none,,False,0.22,passed,False,none
LA00254,none,,False,2.67,rejected,False,none
LA00255,none,,False,0.26,passed,False,none
LA00256,none,,False,0.57,passed,False,community water tank
LA00257,none,,False,0.57,passed,False,none
LA00258,procedural,agricultural labourers;representatives of the Scheduled Tribe community,False,0.44,rejected,False,none
LA00259,none,,False,0.69,deferred,False,grazing commons
LA00260,none,,False,0.57,passed,False,irrigation source
LA00261,none,,False,0.4,deferred,False,none
LA00262,none,,True,0.53,deferred,False,none
LA00263,none,,False,0.68,passed,False,irrigation source
LA00264,fundamental,landowning farmers;tenant cultivators;the local women's self-help group,False,0.54,deferred,True,none
LA00265,procedural,agricultural labourers,True,0.33,rejected,True,irrigation source
LA00266,procedural,landowning farmers;agricultural labourers,False,0.35,rejected,False,none
LA00267,fundamental,tenant cultivators,False,0.67,deferred,False,sacred grove
LA00268,fundamental,representatives of the Scheduled Tribe community,True,0.25,rejected,True,none
LA00269,none,,False,1.0,passed,False,none
LA00270,fundamental,agricultural labourers;elected Panchayat members,False,0.67,rejected,False,irrigation source
LA00271,procedural,agricultural labourers,False,0.62,passed,False,none
LA00272,fundamental,tenant cultivators,False,1.14,deferred,False,none
LA00273,procedural,tenant cultivators,False,0.74,passed,False,none
LA00274,procedural,the local women's self-help group,False,0.69,passed,True,none
LA00275,none,,False,1.14,rejected,True,none
LA00276,none,,False,0.52,passed,False,sacred grove
LA00277,none,,False,0.6,passed,False,irrigation source
LA00278,none,,False,0.62,deferred,False,grazing commons
LA00279,fundamental,landowning farmers;elected Panchayat members;agricultural labourers,False,0.42,deferred,False,none
LA00280,procedural,the local women's self-help group;landowning farmers;local shopkeepers and traders,False,0.44,deferred,False,none
LA00281,procedural,local shopkeepers and traders,False,0.23,passed,False,none
LA00282,procedural,tenant cultivators;elected Panchayat members;representatives of the Scheduled Tribe community,False,0.89,passed,False,none
LA00283,procedural,representatives of the Scheduled Tribe community,False,0.05,passed,False,none
LA00284,none,,False,1.0,passed,False,none
LA00285,fundamental,representatives of the Scheduled Tribe community;local shopkeepers and traders,True,0.62,rejected,True,none
LA00286,fundamental,landowning farmers,False,0.6,deferred,False,none
LA00287,none,,False,0.52,passed,False,none
LA00288,procedural,agricultural labourers,True,0.73,deferred,False,none
LA00289,procedural,representatives of the Scheduled Tribe community;landowning farmers,False,1.0,passed,False,none
LA00290,fundamental,elected Panchayat members,False,0.56,deferred,False,none
LA00291,procedural,agricultural labourers;landowning farmers;the local women's self-help group,False,0.52,passed,False,none
LA00292,none,,True,0.33,passed,False,none
LA00293,procedural,representatives of the Scheduled Tribe community;agricultural labourers,True,0.5,deferred,True,none
LA00294,fundamental,agricultural labourers,False,0.53,deferred,True,none
LA00295,none,,False,0.74,passed,False,none
LA00296,procedural,representatives of the Scheduled Tribe community,True,0.46,deferred,False,none
LA00297,none,,False,0.83,passed,False,none
LA00298,procedural,elected Panchayat members,False,0.73,passed,False,irrigation source
LA00299,none,,False,0.74,rejected,False,grazing commons
LA00300,none,,False,0.73,passed,False,none
LA00301,fundamental,representatives of the Scheduled Tribe community,True,0.53,passed,False,none
LA00302,none,,False,0.05,passed,False,irrigation source
LA00303,procedural,agricultural labourers;tenant cultivators,False,0.05,deferred,False,none
LA00304,procedural,representatives of the Scheduled Tribe community;elected Panchayat members,False,0.73,passed,False,none
LA00305,procedural,agricultural labourers,False,0.6,rejected,False,none
LA00306,procedural,landowning farmers;elected Panchayat members;representatives of the Scheduled Tribe community,False,0.62,rejected,False,community water tank
LA00307,none,,False,0.69,passed,True,none
LA00308,procedural,representatives of the Scheduled Tribe community;landowning farmers;local shopkeepers and traders,False,0.83,passed,False,none
LA00309,procedural,the local women's self-help group,False,0.14,passed,False,grazing commons
LA00310,procedural,agricultural labourers,False,1.6,passed,True,none
LA00311,none,,False,0.5,passed,False,none
LA00312,none,,False,0.21,passed,False,irrigation source
LA00313,none,,False,0.32,passed,False,community water tank
LA00314,procedural,representatives of the Scheduled Tribe community;agricultural labourers;landowning farmers,False,1.14,rejected,True,none
LA00315,none,,True,0.46,passed,False,grazing commons
LA00316,none,,False,0.62,passed,False,none
LA00317,procedural,landowning farmers;local shopkeepers and traders,False,0.48,rejected,False,none
LA00318,none,,False,0.7,passed,False,none
LA00319,none,,False,0.47,passed,False,none
LA00320,none,,False,0.05,deferred,False,none
LA00321,none,,False,1.33,deferred,False,none
LA00322,procedural,representatives of the Scheduled Tribe community;landowning farmers;tenant cultivators,False,0.89,deferred,False,burial ground
LA00323,fundamental,tenant cultivators,False,0.18,deferred,True,none
LA00324,none,,False,0.4,passed,False,community water tank
LA00325,procedural,the local women's self-help group;landowning farmers;agricultural labourers,False,1.0,passed,False,none
LA00326,fundamental,representatives of the Scheduled Tribe community,False,0.89,passed,False,burial ground
LA00327,procedural,landowning farmers;representatives of the Scheduled Tribe community,False,0.66,deferred,False,none
LA00328,fundamental,landowning farmers;elected Panchayat members,False,0.05,deferred,False,irrigation source
LA00329,none,,False,0.54,deferred,False,none
LA00330,none,,True,0.4,passed,False,grazing commons
LA00331,none,,False,0.19,passed,False,none
LA00332,none,,False,0.44,deferred,False,none
LA00333,none,,False,0.36,passed,False,grazing commons
LA00334,fundamental,tenant cultivators,True,0.23,deferred,True,none
LA00335,none,,False,0.38,passed,False,none
LA00336,procedural,representatives of the Scheduled Tribe community;agricultural labourers;local shopkeepers and traders,True,0.59,passed,False,irrigation source
LA00337,procedural,agricultural labourers;representatives of the Scheduled Tribe community,False,0.82,passed,False,none
LA00338,none,,False,0.12,passed,False,community water tank
LA00339,fundamental,landowning farmers;tenant cultivators;the local women's self-help group,False,0.22,deferred,True,none
LA00340,none,,True,0.64,passed,True,none
LA00341,none,,False,0.62,passed,False,irrigation source
LA00342,fundamental,elected Panchayat members;landowning farmers;agricultural labourers,False,0.67,passed,False,irrigation source
LA00343,none,,False,0.13,passed,False,irrigation source
LA00344,fundamental,representatives of the Scheduled Tribe community;landowning farmers,False,0.77,passed,True,community water tank
LA00345,none,,False,0.19,passed,True,none
LA00346,none,,False,0.47,passed,False,irrigation source
LA00347,none,,False,0.29,passed,True,none
LA00348,fundamental,representatives of the Scheduled Tribe community;tenant cultivators;elected Panchayat members,False,0.61,rejected,False,irrigation source
LA00349,none,,True,0.87,passed,False,none
LA00350,fundamental,tenant cultivators,False,0.28,rejected,False,irrigation source
LA00351,none,,False,0.76,passed,False,none
LA00352,fundamental,tenant cultivators,False,0.84,deferred,False,none
LA00353,procedural,representatives of the Scheduled Tribe community,False,0.5,deferred,False,none
LA00354,none,,False,0.43,passed,False,none
LA00355,none,,False,0.41,deferred,False,none
LA00356,procedural,local shopkeepers and traders;the local women's self-help group,False,1.0,deferred,False,none
LA00357,none,,False,0.19,passed,False,none
LA00358,fundamental,representatives of the Scheduled Tribe community,False,0.72,passed,True,none
LA00359,fundamental,representatives of the Scheduled Tribe community;local shopkeepers and traders,False,0.39,rejected,True,none
LA00360,procedural,representatives of the Scheduled Tribe community;the local women's self-help group;local shopkeepers and traders,False,1.6,deferred,True,none
LA00361,procedural,landowning farmers;tenant cultivators,False,1.05,deferred,False,community water tank
LA00362,none,,True,0.76,passed,True,none
LA00363,procedural,landowning farmers;local shopkeepers and traders;tenant cultivators,False,0.72,deferred,False,grazing commons
LA00364,none,,False,1.6,deferred,False,none
LA00365,none,,False,0.89,passed,False,none
LA00366,procedural,agricultural labourers;landowning farmers,True,0.31,deferred,False,none
LA00367,procedural,tenant cultivators;the local women's self-help group,True,0.53,deferred,False,none
LA00368,none,,False,0.15,passed,False,grazing commons
LA00369,none,,False,0.6,passed,True,none
LA00370,fundamental,agricultural labourers;landowning farmers,False,0.28,deferred,False,none
LA00371,none,,False,0.67,passed,False,none
LA00372,none,,False,0.73,passed,False,none
LA00373,procedural,representatives of the Scheduled Tribe community;landowning farmers;the local women's self-help group,False,0.48,passed,False,community water tank
LA00374,none,,False,0.7,passed,False,irrigation source
LA00375,fundamental,representatives of the Scheduled Tribe community;the local women's self-help group;landowning farmers,False,0.88,rejected,True,grazing commons
LA00376,procedural,elected Panchayat members;agricultural labourers;tenant cultivators,False,0.49,rejected,False,none
LA00377,none,,False,2.67,passed,False,none
LA00378,none,,False,1.28,passed,False,none
LA00379,none,,False,0.41,passed,True,none
LA00380,none,,True,0.23,passed,False,community water tank
LA00381,fundamental,tenant cultivators;the local women's self-help group,True,0.65,rejected,False,none
LA00382,procedural,landowning farmers;elected Panchayat members;representatives of the Scheduled Tribe community,False,0.23,passed,False,none
LA00383,fundamental,agricultural labourers;local shopkeepers and traders;tenant cultivators,False,0.82,deferred,True,none
LA00384,none,,False,0.18,passed,False,none
LA00385,fundamental,landowning farmers,False,0.54,rejected,False,community water tank
LA00386,procedural,elected Panchayat members;representatives of the Scheduled Tribe community;tenant cultivators,False,0.62,deferred,False,none
LA00387,none,,False,0.75,passed,False,none
LA00388,none,,False,0.34,passed,False,none
LA00389,none,,False,0.56,passed,False,none
LA00390,none,,False,0.9,passed,False,grazing commons
LA00391,none,,False,0.45,passed,False,community water tank
LA00392,none,,False,0.69,passed,False,grazing commons
LA00393,none,,False,0.63,deferred,False,sacred grove
LA00394,fundamental,the local women's self-help group,False,0.68,deferred,False,none
LA00395,fundamental,local shopkeepers and traders;agricultural labourers;tenant cultivators,False,0.6,rejected,True,none
LA00396,none,,False,1.06,passed,False,none
LA00397,none,,False,0.46,passed,False,none
LA00398,none,,False,0.3,passed,False,none
LA00399,fundamental,landowning farmers;tenant cultivators;agricultural labourers,False,1.6,rejected,False,none
LA00400,none,,False,0.35,passed,False,none
LA00401,none,,True,0.76,passed,False,none
LA00402,none,,False,1.03,passed,False,irrigation source
LA00403,procedural,local shopkeepers and traders;elected Panchayat members,False,2.0,deferred,False,none
LA00404,none,,False,0.8,deferred,False,none
LA00405,none,,False,0.94,passed,False,none
LA00406,procedural,agricultural labourers;landowning farmers;representatives of the Scheduled Tribe community,True,0.11,passed,False,none
LA00407,none,,True,0.2,passed,False,none
LA00408,fundamental,landowning farmers;agricultural labourers;representatives of the Scheduled Tribe community,False,0.44,deferred,False,none
LA00409,procedural,landowning farmers,False,0.45,rejected,False,none
LA00410,none,,False,0.49,passed,False,none
LA00411,none,,True,0.37,passed,False,none
LA00412,procedural,landowning farmers,False,0.7,passed,False,none
LA00413,none,,False,0.44,passed,False,none
LA00414,none,,False,0.62,passed,False,none
LA00415,none,,True,0.72,passed,False,none
LA00416,none,,False,0.76,deferred,False,none
LA00417,none,,True,0.77,deferred,False,none
LA00418,none,,False,0.76,passed,False,none
LA00419,procedural,agricultural labourers;tenant cultivators;landowning farmers,False,0.35,passed,False,irrigation source
LA00420,none,,False,0.49,passed,False,none
LA00421,fundamental,elected Panchayat members,False,0.2,rejected,False,none
LA00422,fundamental,representatives of the Scheduled Tribe community;landowning farmers;agricultural labourers,False,0.62,deferred,False,none
LA00423,none,,False,0.46,deferred,True,none
LA00424,none,,False,0.38,passed,False,none
LA00425,procedural,landowning farmers;the local women's self-help group;tenant cultivators,False,0.66,passed,False,irrigation source
LA00426,none,,False,0.71,passed,False,none
LA00427,none,,False,0.64,deferred,False,none
LA00428,fundamental,tenant cultivators,False,0.69,deferred,True,none
LA00429,none,,False,0.48,passed,False,none
LA00430,procedural,agricultural labourers;landowning farmers,True,0.41,passed,False,none
LA00431,procedural,local shopkeepers and traders;agricultural labourers,True,0.5,deferred,False,none
LA00432,none,,False,0.32,passed,False,community water tank
LA00433,none,,False,0.49,passed,False,none
LA00434,none,,False,0.62,passed,False,none
LA00435,procedural,the local women's self-help group,False,0.17,passed,False,none
LA00436,procedural,the local women's self-help group,False,1.33,passed,False,none
LA00437,none,,False,0.86,passed,True,none
LA00438,fundamental,local shopkeepers and traders;tenant cultivators;landowning farmers,False,0.63,rejected,False,irrigation source
